time,vin,vout
0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-08,6.283185e-07,6.282557e-11
2.000000e-08,1.256637e-06,1.884704e-10
4.000000e-08,2.513274e-06,5.653862e-10
8.000000e-08,5.026548e-06,2.072823e-09
1.600000e-07,1.005309e-05,8.100611e-09
3.200000e-07,2.010618e-05,3.219579e-08
6.400000e-07,4.021228e-05,1.284483e-07
1.280000e-06,8.042390e-05,5.124333e-07
2.280000e-06,1.432517e-04,1.620148e-06
3.280000e-06,2.060739e-04,3.341966e-06
4.280000e-06,2.688879e-04,5.671707e-06
5.280000e-06,3.316913e-04,8.603228e-06
6.280000e-06,3.944817e-04,1.213042e-05
7.280000e-06,4.572564e-04,1.624723e-05
8.280000e-06,5.200131e-04,2.094760e-05
9.280000e-06,5.827493e-04,2.622555e-05
1.028000e-05,6.454624e-04,3.207510e-05
1.128000e-05,7.081501e-04,3.849034e-05
1.228000e-05,7.708098e-04,4.546536e-05
1.328000e-05,8.334391e-04,5.299430e-05
1.428000e-05,8.960355e-04,6.107135e-05
1.528000e-05,9.585965e-04,6.969070e-05
1.628000e-05,1.021120e-03,7.884659e-05
1.728000e-05,1.083603e-03,8.853330e-05
1.828000e-05,1.146043e-03,9.874514e-05
1.928000e-05,1.208437e-03,1.094764e-04
2.028000e-05,1.270785e-03,1.207216e-04
2.128000e-05,1.333082e-03,1.324749e-04
2.228000e-05,1.395326e-03,1.447309e-04
2.328000e-05,1.457515e-03,1.574840e-04
2.428000e-05,1.519647e-03,1.707288e-04
2.528000e-05,1.581719e-03,1.844597e-04
2.628000e-05,1.643728e-03,1.986712e-04
2.728000e-05,1.705672e-03,2.133581e-04
2.828000e-05,1.767549e-03,2.285148e-04
2.928000e-05,1.829356e-03,2.441361e-04
3.028000e-05,1.891092e-03,2.602166e-04
3.128000e-05,1.952752e-03,2.767510e-04
3.228000e-05,2.014335e-03,2.937340e-04
3.328000e-05,2.075839e-03,3.111604e-04
3.428000e-05,2.137261e-03,3.290250e-04
3.528000e-05,2.198598e-03,3.473225e-04
3.628000e-05,2.259849e-03,3.660479e-04
3.728000e-05,2.321010e-03,3.851960e-04
3.828000e-05,2.382080e-03,4.047616e-04
3.928000e-05,2.443056e-03,4.247398e-04
4.028000e-05,2.503935e-03,4.451254e-04
4.128000e-05,2.564716e-03,4.659135e-04
4.228000e-05,2.625395e-03,4.870990e-04
4.328000e-05,2.685970e-03,5.086769e-04
4.428000e-05,2.746440e-03,5.306424e-04
4.528000e-05,2.806801e-03,5.529904e-04
4.628000e-05,2.867051e-03,5.757162e-04
4.728000e-05,2.927189e-03,5.988147e-04
4.828000e-05,2.987210e-03,6.222812e-04
4.928000e-05,3.047114e-03,6.461109e-04
5.028000e-05,3.106897e-03,6.702989e-04
5.128000e-05,3.166558e-03,6.948405e-04
5.228000e-05,3.226093e-03,7.197309e-04
5.328000e-05,3.285502e-03,7.449654e-04
5.428000e-05,3.344780e-03,7.705392e-04
5.528000e-05,3.403927e-03,7.964478e-04
5.628000e-05,3.462939e-03,8.226865e-04
5.728000e-05,3.521814e-03,8.492506e-04
5.828000e-05,3.580551e-03,8.761355e-04
5.928000e-05,3.639146e-03,9.033366e-04
6.028000e-05,3.697597e-03,9.308494e-04
6.128000e-05,3.755903e-03,9.586693e-04
6.228000e-05,3.814060e-03,9.867918e-04
6.328000e-05,3.872066e-03,1.015212e-03
6.428000e-05,3.929920e-03,1.043927e-03
6.528000e-05,3.987619e-03,1.072930e-03
6.628000e-05,4.045160e-03,1.102218e-03
6.728000e-05,4.102541e-03,1.131787e-03
6.828000e-05,4.159761e-03,1.161631e-03
6.928000e-05,4.216816e-03,1.191747e-03
7.028000e-05,4.273705e-03,1.222130e-03
7.128000e-05,4.330425e-03,1.252776e-03
7.228000e-05,4.386974e-03,1.283681e-03
7.328000e-05,4.443350e-03,1.314840e-03
7.428000e-05,4.499550e-03,1.346249e-03
7.528000e-05,4.555573e-03,1.377904e-03
7.628000e-05,4.611416e-03,1.409800e-03
7.728000e-05,4.667077e-03,1.441934e-03
7.828000e-05,4.722554e-03,1.474301e-03
7.928000e-05,4.777844e-03,1.506897e-03
8.028000e-05,4.832946e-03,1.539718e-03
8.128000e-05,4.887857e-03,1.572760e-03
8.228000e-05,4.942575e-03,1.606018e-03
8.328000e-05,4.997098e-03,1.639489e-03
8.428000e-05,5.051423e-03,1.673168e-03
8.528000e-05,5.105549e-03,1.707052e-03
8.628000e-05,5.159474e-03,1.741136e-03
8.728000e-05,5.213195e-03,1.775417e-03
8.828000e-05,5.266710e-03,1.809890e-03
8.928000e-05,5.320017e-03,1.844551e-03
9.028000e-05,5.373114e-03,1.879397e-03
9.128000e-05,5.425999e-03,1.914423e-03
9.228000e-05,5.478670e-03,1.949627e-03
9.328000e-05,5.531124e-03,1.985002e-03
9.428000e-05,5.583360e-03,2.020547e-03
9.528000e-05,5.635376e-03,2.056257e-03
9.628000e-05,5.687169e-03,2.092128e-03
9.728000e-05,5.738738e-03,2.128156e-03
9.828000e-05,5.790080e-03,2.164337e-03
9.928000e-05,5.841193e-03,2.200669e-03
1.002800e-04,5.892076e-03,2.237146e-03
1.012800e-04,5.942727e-03,2.273765e-03
1.022800e-04,5.993142e-03,2.310523e-03
1.032800e-04,6.043322e-03,2.347416e-03
1.042800e-04,6.093262e-03,2.384440e-03
1.052800e-04,6.142962e-03,2.421590e-03
1.062800e-04,6.192420e-03,2.458865e-03
1.072800e-04,6.241633e-03,2.496260e-03
1.082800e-04,6.290599e-03,2.533771e-03
1.092800e-04,6.339318e-03,2.571395e-03
1.102800e-04,6.387786e-03,2.609127e-03
1.112800e-04,6.436001e-03,2.646966e-03
1.122800e-04,6.483963e-03,2.684906e-03
1.132800e-04,6.531669e-03,2.722945e-03
1.142800e-04,6.579117e-03,2.761079e-03
1.152800e-04,6.626305e-03,2.799304e-03
1.162800e-04,6.673232e-03,2.837617e-03
1.172800e-04,6.719895e-03,2.876015e-03
1.182800e-04,6.766293e-03,2.914493e-03
1.192800e-04,6.812423e-03,2.953049e-03
1.202800e-04,6.858285e-03,2.991679e-03
1.212800e-04,6.903876e-03,3.030379e-03
1.222800e-04,6.949195e-03,3.069147e-03
1.232800e-04,6.994239e-03,3.107979e-03
1.242800e-04,7.039007e-03,3.146871e-03
1.252800e-04,7.083497e-03,3.185820e-03
1.262800e-04,7.127707e-03,3.224823e-03
1.272800e-04,7.171637e-03,3.263876e-03
1.282800e-04,7.215282e-03,3.302976e-03
1.292800e-04,7.258644e-03,3.342120e-03
1.302800e-04,7.301718e-03,3.381305e-03
1.312800e-04,7.344504e-03,3.420527e-03
1.322800e-04,7.387001e-03,3.459783e-03
1.332800e-04,7.429206e-03,3.499070e-03
1.342800e-04,7.471117e-03,3.538384e-03
1.352800e-04,7.512733e-03,3.577723e-03
1.362800e-04,7.554053e-03,3.617083e-03
1.372800e-04,7.595075e-03,3.656461e-03
1.382800e-04,7.635797e-03,3.695853e-03
1.392800e-04,7.676217e-03,3.735258e-03
1.402800e-04,7.716335e-03,3.774671e-03
1.412800e-04,7.756147e-03,3.814090e-03
1.422800e-04,7.795654e-03,3.853511e-03
1.432800e-04,7.834853e-03,3.892931e-03
1.442800e-04,7.873742e-03,3.932348e-03
1.452800e-04,7.912321e-03,3.971757e-03
1.462800e-04,7.950587e-03,4.011157e-03
1.472800e-04,7.988539e-03,4.050544e-03
1.482800e-04,8.026176e-03,4.089916e-03
1.492800e-04,8.063496e-03,4.129268e-03
1.502800e-04,8.100498e-03,4.168599e-03
1.512800e-04,8.137180e-03,4.207905e-03
1.522800e-04,8.173541e-03,4.247183e-03
1.532800e-04,8.209579e-03,4.286430e-03
1.542800e-04,8.245293e-03,4.325644e-03
1.552800e-04,8.280682e-03,4.364822e-03
1.562800e-04,8.315743e-03,4.403960e-03
1.572800e-04,8.350476e-03,4.443056e-03
1.582800e-04,8.384880e-03,4.482107e-03
1.592800e-04,8.418953e-03,4.521110e-03
1.602800e-04,8.452693e-03,4.560063e-03
1.612800e-04,8.486099e-03,4.598961e-03
1.622800e-04,8.519171e-03,4.637804e-03
1.632800e-04,8.551906e-03,4.676587e-03
1.642800e-04,8.584304e-03,4.715309e-03
1.652800e-04,8.616362e-03,4.753966e-03
1.662800e-04,8.648081e-03,4.792555e-03
1.672800e-04,8.679458e-03,4.831075e-03
1.682800e-04,8.710493e-03,4.869522e-03
1.692800e-04,8.741183e-03,4.907893e-03
1.702800e-04,8.771529e-03,4.946186e-03
1.712800e-04,8.801528e-03,4.984399e-03
1.722800e-04,8.831180e-03,5.022528e-03
1.732800e-04,8.860483e-03,5.060570e-03
1.742800e-04,8.889436e-03,5.098524e-03
1.752800e-04,8.918038e-03,5.136387e-03
1.762800e-04,8.946289e-03,5.174156e-03
1.772800e-04,8.974186e-03,5.211829e-03
1.782800e-04,9.001729e-03,5.249402e-03
1.792800e-04,9.028916e-03,5.286874e-03
1.802800e-04,9.055747e-03,5.324242e-03
1.812800e-04,9.082221e-03,5.361503e-03
1.822800e-04,9.108336e-03,5.398655e-03
1.832800e-04,9.134091e-03,5.435695e-03
1.842800e-04,9.159486e-03,5.472621e-03
1.852800e-04,9.184519e-03,5.509431e-03
1.862800e-04,9.209190e-03,5.546122e-03
1.872800e-04,9.233497e-03,5.582691e-03
1.882800e-04,9.257439e-03,5.619137e-03
1.892800e-04,9.281016e-03,5.655456e-03
1.902800e-04,9.304227e-03,5.691647e-03
1.912800e-04,9.327070e-03,5.727707e-03
1.922800e-04,9.349545e-03,5.763633e-03
1.932800e-04,9.371651e-03,5.799424e-03
1.942800e-04,9.393387e-03,5.835076e-03
1.952800e-04,9.414753e-03,5.870589e-03
1.962800e-04,9.435746e-03,5.905959e-03
1.972800e-04,9.456367e-03,5.941183e-03
1.982800e-04,9.476615e-03,5.976261e-03
1.992800e-04,9.496488e-03,6.011189e-03
2.002800e-04,9.515987e-03,6.045966e-03
2.012800e-04,9.535110e-03,6.080589e-03
2.022800e-04,9.553856e-03,6.115055e-03
2.032800e-04,9.572226e-03,6.149364e-03
2.042800e-04,9.590217e-03,6.183511e-03
2.052800e-04,9.607830e-03,6.217497e-03
2.062800e-04,9.625064e-03,6.251317e-03
2.072800e-04,9.641917e-03,6.284970e-03
2.082800e-04,9.658390e-03,6.318455e-03
2.092800e-04,9.674482e-03,6.351768e-03
2.102800e-04,9.690192e-03,6.384908e-03
2.112800e-04,9.705519e-03,6.417873e-03
2.122800e-04,9.720463e-03,6.450660e-03
2.132800e-04,9.735023e-03,6.483268e-03
2.142800e-04,9.749199e-03,6.515694e-03
2.152800e-04,9.762990e-03,6.547937e-03
2.162800e-04,9.776396e-03,6.579994e-03
2.172800e-04,9.789416e-03,6.611864e-03
2.182800e-04,9.802049e-03,6.643544e-03
2.192800e-04,9.814295e-03,6.675033e-03
2.202800e-04,9.826154e-03,6.706328e-03
2.212800e-04,9.837625e-03,6.737429e-03
2.222800e-04,9.848707e-03,6.768331e-03
2.232800e-04,9.859401e-03,6.799035e-03
2.242800e-04,9.869705e-03,6.829538e-03
2.252800e-04,9.879620e-03,6.859838e-03
2.262800e-04,9.889145e-03,6.889933e-03
2.272800e-04,9.898279e-03,6.919821e-03
2.282800e-04,9.907023e-03,6.949501e-03
2.292800e-04,9.915376e-03,6.978970e-03
2.302800e-04,9.923337e-03,7.008228e-03
2.312800e-04,9.930906e-03,7.037272e-03
2.322800e-04,9.938083e-03,7.066100e-03
2.332800e-04,9.944868e-03,7.094711e-03
2.342800e-04,9.951260e-03,7.123102e-03
2.352800e-04,9.957260e-03,7.151273e-03
2.362800e-04,9.962866e-03,7.179221e-03
2.372800e-04,9.968079e-03,7.206945e-03
2.382800e-04,9.972899e-03,7.234443e-03
2.392800e-04,9.977325e-03,7.261713e-03
2.402800e-04,9.981357e-03,7.288754e-03
2.412800e-04,9.984994e-03,7.315564e-03
2.422800e-04,9.988238e-03,7.342142e-03
2.432800e-04,9.991087e-03,7.368486e-03
2.442800e-04,9.993542e-03,7.394593e-03
2.452800e-04,9.995603e-03,7.420464e-03
2.462800e-04,9.997269e-03,7.446095e-03
2.472800e-04,9.998540e-03,7.471486e-03
2.482800e-04,9.999416e-03,7.496636e-03
2.492800e-04,9.999898e-03,7.521541e-03
2.502800e-04,9.999985e-03,7.546202e-03
2.512800e-04,9.999677e-03,7.570616e-03
2.522800e-04,9.998974e-03,7.594782e-03
2.532800e-04,9.997876e-03,7.618699e-03
2.542800e-04,9.996384e-03,7.642365e-03
2.552800e-04,9.994498e-03,7.665779e-03
2.562800e-04,9.992216e-03,7.688939e-03
2.572800e-04,9.989540e-03,7.711844e-03
2.582800e-04,9.986470e-03,7.734492e-03
2.592800e-04,9.983006e-03,7.756883e-03
2.602800e-04,9.979147e-03,7.779014e-03
2.612800e-04,9.974895e-03,7.800885e-03
2.622800e-04,9.970248e-03,7.822494e-03
2.632800e-04,9.965208e-03,7.843839e-03
2.642800e-04,9.959775e-03,7.864920e-03
2.652800e-04,9.953949e-03,7.885736e-03
2.662800e-04,9.947729e-03,7.906284e-03
2.672800e-04,9.941117e-03,7.926564e-03
2.682800e-04,9.934112e-03,7.946574e-03
2.692800e-04,9.926715e-03,7.966314e-03
2.702800e-04,9.918927e-03,7.985782e-03
2.712800e-04,9.910746e-03,8.004976e-03
2.722800e-04,9.902175e-03,8.023897e-03
2.732800e-04,9.893212e-03,8.042541e-03
2.742800e-04,9.883859e-03,8.060909e-03
2.752800e-04,9.874116e-03,8.079000e-03
2.762800e-04,9.863983e-03,8.096811e-03
2.772800e-04,9.853460e-03,8.114343e-03
2.782800e-04,9.842549e-03,8.131593e-03
2.792800e-04,9.831249e-03,8.148561e-03
2.802800e-04,9.819561e-03,8.165246e-03
2.812800e-04,9.807485e-03,8.181647e-03
2.822800e-04,9.795022e-03,8.197762e-03
2.832800e-04,9.782172e-03,8.213592e-03
2.842800e-04,9.768936e-03,8.229134e-03
2.852800e-04,9.755315e-03,8.244387e-03
2.862800e-04,9.741308e-03,8.259352e-03
2.872800e-04,9.726917e-03,8.274026e-03
2.882800e-04,9.712142e-03,8.288409e-03
2.892800e-04,9.696983e-03,8.302500e-03
2.902800e-04,9.681441e-03,8.316298e-03
2.912800e-04,9.665518e-03,8.329803e-03
2.922800e-04,9.649212e-03,8.343012e-03
2.932800e-04,9.632526e-03,8.355926e-03
2.942800e-04,9.615460e-03,8.368544e-03
2.952800e-04,9.598014e-03,8.380864e-03
2.962800e-04,9.580189e-03,8.392886e-03
2.972800e-04,9.561986e-03,8.404610e-03
2.982800e-04,9.543405e-03,8.416033e-03
2.992800e-04,9.524447e-03,8.427157e-03
3.002800e-04,9.505114e-03,8.437979e-03
3.012800e-04,9.485405e-03,8.448499e-03
3.022800e-04,9.465322e-03,8.458717e-03
3.032800e-04,9.444865e-03,8.468631e-03
3.042800e-04,9.424036e-03,8.478241e-03
3.052800e-04,9.402834e-03,8.487546e-03
3.062800e-04,9.381261e-03,8.496546e-03
3.072800e-04,9.359317e-03,8.505240e-03
3.082800e-04,9.337005e-03,8.513628e-03
3.092800e-04,9.314323e-03,8.521708e-03
3.102800e-04,9.291274e-03,8.529480e-03
3.112800e-04,9.267858e-03,8.536943e-03
3.122800e-04,9.244076e-03,8.544098e-03
3.132800e-04,9.219930e-03,8.550942e-03
3.142800e-04,9.195419e-03,8.557477e-03
3.152800e-04,9.170545e-03,8.563701e-03
3.162800e-04,9.145309e-03,8.569614e-03
3.172800e-04,9.119712e-03,8.575215e-03
3.182800e-04,9.093756e-03,8.580503e-03
3.192800e-04,9.067440e-03,8.585480e-03
3.202800e-04,9.040766e-03,8.590142e-03
3.212800e-04,9.013735e-03,8.594492e-03
3.222800e-04,8.986348e-03,8.598527e-03
3.232800e-04,8.958607e-03,8.602248e-03
3.242800e-04,8.930512e-03,8.605654e-03
3.252800e-04,8.902064e-03,8.608745e-03
3.262800e-04,8.873265e-03,8.611520e-03
3.272800e-04,8.844116e-03,8.613980e-03
3.282800e-04,8.814618e-03,8.616123e-03
3.292800e-04,8.784771e-03,8.617949e-03
3.302800e-04,8.754578e-03,8.619459e-03
3.312800e-04,8.724039e-03,8.620652e-03
3.322800e-04,8.693156e-03,8.621527e-03
3.332800e-04,8.661929e-03,8.622084e-03
3.342800e-04,8.630361e-03,8.622324e-03
3.352800e-04,8.598451e-03,8.622245e-03
3.362800e-04,8.566203e-03,8.621848e-03
3.372800e-04,8.533616e-03,8.621132e-03
3.382800e-04,8.500692e-03,8.620097e-03
3.392800e-04,8.467433e-03,8.618744e-03
3.402800e-04,8.433839e-03,8.617071e-03
3.412800e-04,8.399913e-03,8.615079e-03
3.422800e-04,8.365655e-03,8.612767e-03
3.432800e-04,8.331066e-03,8.610137e-03
3.442800e-04,8.296149e-03,8.607186e-03
3.452800e-04,8.260904e-03,8.603916e-03
3.462800e-04,8.225333e-03,8.600326e-03
3.472800e-04,8.189438e-03,8.596416e-03
3.482800e-04,8.153219e-03,8.592186e-03
3.492800e-04,8.116678e-03,8.587637e-03
3.502800e-04,8.079817e-03,8.582767e-03
3.512800e-04,8.042636e-03,8.577578e-03
3.522800e-04,8.005139e-03,8.572068e-03
3.532800e-04,7.967325e-03,8.566239e-03
3.542800e-04,7.929196e-03,8.560090e-03
3.552800e-04,7.890755e-03,8.553621e-03
3.562800e-04,7.852002e-03,8.546833e-03
3.572800e-04,7.812939e-03,8.539725e-03
3.582800e-04,7.773568e-03,8.532297e-03
3.592800e-04,7.733890e-03,8.524550e-03
3.602800e-04,7.693906e-03,8.516484e-03
3.612800e-04,7.653619e-03,8.508099e-03
3.622800e-04,7.613030e-03,8.499394e-03
3.632800e-04,7.572140e-03,8.490371e-03
3.642800e-04,7.530951e-03,8.481030e-03
3.652800e-04,7.489465e-03,8.471370e-03
3.662800e-04,7.447683e-03,8.461392e-03
3.672800e-04,7.405607e-03,8.451096e-03
3.682800e-04,7.363239e-03,8.440482e-03
3.692800e-04,7.320580e-03,8.429551e-03
3.702800e-04,7.277632e-03,8.418303e-03
3.712800e-04,7.234397e-03,8.406738e-03
3.722800e-04,7.190876e-03,8.394856e-03
3.732800e-04,7.147071e-03,8.382658e-03
3.742800e-04,7.102984e-03,8.370145e-03
3.752800e-04,7.058617e-03,8.357315e-03
3.762800e-04,7.013971e-03,8.344171e-03
3.772800e-04,6.969048e-03,8.330712e-03
3.782800e-04,6.923850e-03,8.316938e-03
3.792800e-04,6.878379e-03,8.302850e-03
3.802800e-04,6.832636e-03,8.288449e-03
3.812800e-04,6.786623e-03,8.273734e-03
3.822800e-04,6.740343e-03,8.258707e-03
3.832800e-04,6.693796e-03,8.243367e-03
3.842800e-04,6.646985e-03,8.227715e-03
3.852800e-04,6.599912e-03,8.211753e-03
3.862800e-04,6.552578e-03,8.195479e-03
3.872800e-04,6.504985e-03,8.178895e-03
3.882800e-04,6.457136e-03,8.162001e-03
3.892800e-04,6.409032e-03,8.144798e-03
3.902800e-04,6.360674e-03,8.127286e-03
3.912800e-04,6.312066e-03,8.109466e-03
3.922800e-04,6.263208e-03,8.091338e-03
3.932800e-04,6.214104e-03,8.072904e-03
3.942800e-04,6.164753e-03,8.054162e-03
3.952800e-04,6.115160e-03,8.035116e-03
3.962800e-04,6.065325e-03,8.015764e-03
3.972800e-04,6.015251e-03,7.996107e-03
3.982800e-04,5.964939e-03,7.976147e-03
3.992800e-04,5.914391e-03,7.955883e-03
4.002800e-04,5.863610e-03,7.935317e-03
4.012800e-04,5.812598e-03,7.914450e-03
4.022800e-04,5.761356e-03,7.893281e-03
4.032800e-04,5.709887e-03,7.871811e-03
4.042800e-04,5.658192e-03,7.850043e-03
4.052800e-04,5.606274e-03,7.827975e-03
4.062800e-04,5.554135e-03,7.805609e-03
4.072800e-04,5.501776e-03,7.782946e-03
4.082800e-04,5.449200e-03,7.759986e-03
4.092800e-04,5.396409e-03,7.736730e-03
4.102800e-04,5.343405e-03,7.713180e-03
4.112800e-04,5.290191e-03,7.689335e-03
4.122800e-04,5.236767e-03,7.665197e-03
4.132800e-04,5.183136e-03,7.640767e-03
4.142800e-04,5.129301e-03,7.616045e-03
4.152800e-04,5.075263e-03,7.591033e-03
4.162800e-04,5.021025e-03,7.565730e-03
4.172800e-04,4.966589e-03,7.540139e-03
4.182800e-04,4.911957e-03,7.514260e-03
4.192800e-04,4.857130e-03,7.488093e-03
4.202800e-04,4.802113e-03,7.461641e-03
4.212800e-04,4.746905e-03,7.434903e-03
4.222800e-04,4.691510e-03,7.407882e-03
4.232800e-04,4.635930e-03,7.380576e-03
4.242800e-04,4.580167e-03,7.352989e-03
4.252800e-04,4.524223e-03,7.325121e-03
4.262800e-04,4.468100e-03,7.296972e-03
4.272800e-04,4.411801e-03,7.268544e-03
4.282800e-04,4.355328e-03,7.239837e-03
4.292800e-04,4.298683e-03,7.210854e-03
4.302800e-04,4.241868e-03,7.181594e-03
4.312800e-04,4.184885e-03,7.152060e-03
4.322800e-04,4.127738e-03,7.122251e-03
4.332800e-04,4.070428e-03,7.092170e-03
4.342800e-04,4.012956e-03,7.061817e-03
4.352800e-04,3.955327e-03,7.031194e-03
4.362800e-04,3.897541e-03,7.000300e-03
4.372800e-04,3.839601e-03,6.969139e-03
4.382800e-04,3.781510e-03,6.937710e-03
4.392800e-04,3.723270e-03,6.906016e-03
4.402800e-04,3.664882e-03,6.874056e-03
4.412800e-04,3.606350e-03,6.841833e-03
4.422800e-04,3.547676e-03,6.809347e-03
4.432800e-04,3.488861e-03,6.776600e-03
4.442800e-04,3.429909e-03,6.743593e-03
4.452800e-04,3.370821e-03,6.710327e-03
4.462800e-04,3.311600e-03,6.676803e-03
4.472800e-04,3.252249e-03,6.643023e-03
4.482800e-04,3.192769e-03,6.608988e-03
4.492800e-04,3.133163e-03,6.574700e-03
4.502800e-04,3.073433e-03,6.540158e-03
4.512800e-04,3.013582e-03,6.505366e-03
4.522800e-04,2.953612e-03,6.470323e-03
4.532800e-04,2.893526e-03,6.435032e-03
4.542800e-04,2.833325e-03,6.399494e-03
4.552800e-04,2.773012e-03,6.363709e-03
4.562800e-04,2.712590e-03,6.327681e-03
4.572800e-04,2.652061e-03,6.291408e-03
4.582800e-04,2.591427e-03,6.254894e-03
4.592800e-04,2.530691e-03,6.218140e-03
4.602800e-04,2.469855e-03,6.181146e-03
4.612800e-04,2.408921e-03,6.143915e-03
4.622800e-04,2.347892e-03,6.106447e-03
4.632800e-04,2.286771e-03,6.068744e-03
4.642800e-04,2.225559e-03,6.030808e-03
4.652800e-04,2.164260e-03,5.992640e-03
4.662800e-04,2.102875e-03,5.954241e-03
4.672800e-04,2.041407e-03,5.915613e-03
4.682800e-04,1.979858e-03,5.876758e-03
4.692800e-04,1.918231e-03,5.837676e-03
4.702800e-04,1.856529e-03,5.798370e-03
